,name,Max диаметр сверления (металл),Max диаметр шурупа,Max крутящий момент ,Max размер крепежа,amount_of_reviews,description,Вес нетто,Длина кабеля,Зарядное устройство в комплекте,Количество аккумуляторов в комплекте,Мах диаметр сверления (бетон),Мах диаметр сверления (дерево),Мах диаметр сверления (кирпич),Мощность,Напряжение аккумулятора,Посадочный квадрат,Регулировка глубины завинчивания,Регулировка частоты вращения,Серия аккумулятора,Тип аккумулятора,Тип двигателя,Тип патрона,Упаковка,Частота вращения шпинделя
483,Аккумуляторная дрель-шуруповерт Crown CT21076HMX-4 BMC,13 мм,,60 Нм,,10,,1.82 кг,,есть,,,40 мм,,,20 В,,,,,Li-Ion,,,,
484,Аккумуляторная дрель-шуруповерт GRAPHITE Energy+ 58G022-SET2,,,44 Нм,,1,Совместимость с единым аккумулятором Energy+,4.78 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
485,Дрель аккумуляторная Hanskonner 1BatterySystem HCD2065BLC,,,65 Нм,,5,,,,есть,,,,,,18 В,,,,,Li-Ion,,,,
486,Аккумуляторный шуруповерт Electrolite PROFI 12/2.0 Q 4987,10 мм,,26 Нм,,6,,,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
487,"Дрель аккумуляторная ударная Einhell PXC TP-CD 18/120 Li-i BL, 18В, 120Нм, 0-500/2100/мин, патрон 13мм, без АКК и ЗУ 4514310",13 мм,,120 Нм,,3,,1.71 кг,,нет,,13 мм,,,,18 В,,,,,Li-Ion,,,,
488,Аккумуляторная дрель BRAIT BCDI20-4PUMBL PRO 21.01.202.101,,,150 Нм,,7,,4.9 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
489,"Дрель-шуруповерт аккумуляторная бесщеточная Zitrek Greenpower 20 PRO 20В, 1x2.0Ач 085-1313",10 мм,,45 Нм,,2,,1.2 кг,,есть,,,25 мм,,,20 В,,,,,Li-Ion,,,,
490,Аккумуляторная дрель-шуруповерт Patriot BR 210UES -h 180301555,8 мм,,50 Нм,,21,Единая аккумуляторная система UES с быстрой зарядкой батареи всего за 1 час,4.4 кг,,есть,,10 мм,20 мм,,,21 В,,,,,Li-Ion,,,,
491,Аккумуляторный бесщеточный шуруповерт AYGER с двумя аккумуляторами 4Ah AP18BL4,13 мм,,70 Нм,,1,,3.5 кг,,есть,,,45 мм,,,18 В,,,,,Li-Ion,,,,
492,Аккумуляторная дрель-шуруповерт DWT ABS-12 L-2 BMC 5.2.1,10 мм,,25 Нм,,7,,1.6 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
493,Аккумуляторный ударный винтоверт Hanskonner 1BatterySystem HCD20280BL,,,280 Нм,,2,,1.334 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
494,Аккумуляторная дрель-шуруповерт ПОБЕДА ДА-12П/2 Ли 180201637,6 мм,,25 Нм,,49,,,,есть,,,16 мм,,,12 В,,,,,Li-Ion,,,,
495,Аккумуляторная дрель ELITECH ДА 18БЛ2 E2201.011.00,13 мм,,60 Нм,,1,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.2 кг,,нет,,,32 мм,,,18 В,,,,,Li-Ion,,,,
496,Бесщеточная дрель-шуруповёрт STATUS CBL 12-2Li 07126401,,,38 Нм,,6,,0.9 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
497,Аккумуляторная бесщеточная дрель-шуруповерт Dewalt 18В DCD708P2T DCD708P2T-QW,13 мм,,65 Нм,,2,,,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
498,Бесщеточная дрель-шуруповерт STATUS UniOne CBL 20-2Li 07126101,13 мм,,50 Нм,,32,,1.3 кг,,есть,,,45 мм,,,20 В,,,,,Li-Ion,,,,
499,Дрель-шуруповерт VARGONIC 16.8 В DR-10,10 мм,,40 Нм,,27,,0.712 кг,,есть,,,10 мм,,,16.8 В,,,,,Li-Ion,,,,
500,Аккумуляторный шуруповерт Энергомаш ДШ-18К,,,30 Нм,,5,,2.52 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
501,Дрель аккумуляторная Elitech ДА 20УБЛ2 (E2201.047.01) 205679,13 мм,,70 Нм,,2,,1.31 кг,,,,,35 мм,10 мм,,20 В,,,,,Li-Ion,,,,
502,"Винтоверт аккумуляторный ударный DEKO DKIS12FU-Li, 12В, 1x2.0Ач 085-1110",,,200 Нм,,3,Компактный размер и крутящий момент 200 Нм – незаменимый помощник,0.98 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
503,Бесщеточная аккумуляторная дрель Felisatti ДА-12В ЗУ разъемного типа 191.5.2.00,10 мм,,40 Нм,,25,Бесщеточный двигатель – на 30% эффективнее устройств с коллекторным приводом,0.9 кг,,есть,,,30 мм,,,12 В,,,,,Li-Ion,,,,
504,Аккумуляторная дрель-шуруповерт WORTEX BD 2030 Dli ALL1 BD2030Dli0029,13 мм,,80 Нм,,14,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.3 кг,,нет,,,70 мм,,,18 В,,,,,Li-Ion,,,,
505,Аккумуляторная дрель-шуруповерт WORTEX BD 1815-1 DLi ALL1 BD18151DLi0029,13 мм,,50 Нм,,16,,1.2 кг,,есть,,,35 мм,,,18 В,,,,,Li-Ion,,,,
506,Аккумуляторная дрель-шуруповерт Союз ДШС-181,,,30 Нм,,9,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,0.9 кг,,нет,,,,,,18 В,,,,,,,,,
507,"Аккумуляторная дрель-шуруповерт Ставр 12V, BL, 32/14 Нм, Stavr SDD 12BL-2K, БЗП 10мм металл, 0-400/1450 об/мин 9020100403",10 мм,,32 Нм,,2,,1.2 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
508,Аккумуляторная дрель-шуруповерт Kolner KCD 14.4/2L 8020100381,6 мм,,27 Нм,,51,,1.2 кг,,есть,,,18 мм,,,14.4 В,,,,,Li-Ion,,,,
509,"Дрель-шуруповерт аккумуляторная ударная DELI DE-CZ16-1D2 2 акб, 16В х 2Ач, ЗУ, 45Нм, сумка 163689",10 мм,,45 Нм,,2,,1.1 кг,,есть,,8 мм,25 мм,8 мм,,16 В,,,,,Li-Ion,,,,
